,ds,yhat,yhat_lower,yhat_upper
446,2022-10-07,476.97552676040493,411.52061431153385,540.4406861711931
447,2022-10-10,459.55462177634746,392.58615435526457,523.5427706827638
448,2022-10-11,449.57559174537187,383.5466038018822,512.3527023674833
449,2022-10-12,478.8690325929857,412.156016340118,544.5312326238593
450,2022-10-13,463.6882845202861,401.37208259085077,531.2051687694862
451,2022-10-14,441.2767167477584,379.26174050328746,500.2709167436771
452,2022-10-17,432.126428960147,367.06108169954894,493.53231332706525
453,2022-10-18,425.10205483340013,360.1397182282174,489.1698127609067
454,2022-10-19,454.9344528129518,394.85936688815656,516.6168465111575
455,2022-10-20,442.6436219300005,382.2907679690693,508.77867862269886
456,2022-10-21,423.28463800161967,356.85684746453603,489.1782349786642
457,2022-10-24,417.80239099971743,359.0399236219544,483.79627779505654
458,2022-10-25,411.45195427549385,344.51103197401443,477.4627595064013
459,2022-10-26,439.2865450947228,376.65733358108224,500.3252100452339
460,2022-10-27,427.1747997456504,366.3119691983709,489.29091678676826
461,2022-10-28,408.06963998764166,349.84276050376405,470.8358603105079
462,2022-10-31,398.19810425621836,334.5121181232754,464.6148554077858
463,2022-11-01,390.22064453118963,328.63057162421035,452.92383021694155
464,2022-11-02,330.11967900713825,269.2682236463505,395.77136446119437
465,2022-11-03,317.4053870081767,255.123363948574,379.92325305561246
466,2022-11-04,298.18406579269873,237.7148901664325,364.7212341107002
467,2022-11-07,285.51726359489334,220.59822536749382,348.5397184124074
468,2022-11-08,277.3512350631762,212.3707156721311,340.20561312184014
469,2022-11-09,299.069830961729,234.0518493086443,364.7927103645831
470,2022-11-10,286.31223648741167,224.4139515994992,349.00204192308826
471,2022-11-11,267.8642397115794,204.30916928443781,330.05528064734
472,2022-11-14,256.4078002772175,190.79842605221415,321.18982153251505
473,2022-11-15,249.58968604373905,184.27257650192925,314.14975853498055
474,2022-11-16,273.5198983592384,212.3458932253124,334.78947945523925
475,2022-11-17,265.6384618926522,203.12573142829825,325.9505610391243
476,2022-11-18,252.38204885158117,189.8249985068896,310.6352679537542
477,2022-11-21,254.72282000703282,193.57922999243922,313.7725688111135
